0.970720003	0.971154732	0.971335713	0.971394124 1
0.965615754	0.96612353	0.966121805	0.967964716 1
0.982717766	0.983032246	0.98318781	0.983049639 1
0.981922333	0.981818796	0.981753915	0.981565062 1
0.985196395	0.990965422	0.992940153	0.994669826 1
0.987643609	0.987794756	0.988052687	0.988231649 1
0.988578652	0.988495269	0.988669924	0.988458781 1
0.998541454	0.998651632	0.998717795	0.998797216 1
0.998323119	0.998644631	0.998774037	0.998933678 1
0.997904476	0.999053222	0.999476203	0.99975262 1
0.996294501	0.996671792	0.996790588	0.996908705 1
0.977902298	0.980400197	0.981352794	0.981710701 1
0.981051353	0.984696364	0.986118568	0.987084041 1
0.975464658	0.98439523	0.986696941	0.988136859 1
0.99050107	0.991564786	0.991907179	0.992151927 1
0.990988048	0.99283276	0.993268839	0.993573883 1
0.988492243	0.991140924	0.991779982	0.992043116 1
