169123	533759	694528	1564560	3350310
169449	428756	565409	1274394	3493297
168875	477534	636151	1506574	3601333
169606	631612	705346	1811662	3885097
169551	250586	322573	744243	2115833
170819	210342	283720	902464	3713549
169432	196524	223254	761578	1647178
167699	374495	363596	1015079	1227881
94896	177410	235910	573902	754392
70521	112862	178662	358886	561755
171802	183942	208354	625790	1087127
169049	181086	213161	625509	1049931
170492	287054	370002	916093	2225963
169757	208594	264892	632536	1463873
170056	272330	349719	797908	1737590
169414	237308	247163	925362	1228537
170190	192837	212541	723808	1077392
169939	188574	211214	694668	1075652
169327	239242	342995	923031	1922019
168981	309076	440022	1270487	2733456
169608	188945	210774	699574	1211191
169656	186116	229144	690587	1284224
169605	196319	218359	718662	1368486
169641	186011	242778	643784	1597659
169632	206157	227388	792232	1107704
168783	269300	359393	829916	1930902
169870	251984	334511	804269	2064258
168928	193044	217324	699232	1032647
169683	196031	223712	728930	1105237
169963	190724	210720	656325	1143374
169753	241453	319020	764657	1670432
170224	345888	470242	1100695	2356016
169549	216748	292053	753184	1894819
170398	186639	208175	647355	1244442
169319	291488	393940	960984	2258132
170417	257073	336237	779338	1786345
169285	189567	213904	682074	1211257
169760	247574	322866	852506	2423528
169664	333620	450606	1054305	2326318
169299	181898	220744	649065	1284618
169777	302216	412808	991981	2219031
169371	245198	325444	792924	1785797
169572	351985	477809	1123295	2519278
169363	186678	207317	641475	1307097
169580	176652	200239	624821	1141447
169196	365117	470556	968938	1124379
169311	180533	207232	830521	1033034
62898	85598	128361	251261	408090
20601	20386	27276	72948	129711
