79924	107173	170307	247916	471261
1327749	2312100	3346377	4707441	6830659
1269415	1633799	2120066	2083654	2504359
806384	990432	1280351	1465301	2019362
257299	370895	511300	598528	776802
866680	1400129	2012328	2324813	2858930
1387195	2090660	2916139	3575423	4591723
376503	562991	791904	980154	1390135
897884	1379968	1953480	2287545	2795896
482413	721852	983439	1213406	1268188
1039627	1676001	2346514	2705432	3698285
547627	793089	1086643	1372004	1839384
1739832	2598103	3550152	4150010	5636224
631074	925833	1273424	1548761	2064222
596035	878541	1226241	1466779	2001034
1949633	2720459	3670496	4367645	5842670
241591	336922	475222	589532	838838
1852282	2768309	3798052	4527292	6754087
549000	877363	1292625	1557610	2104806
31276	24113	53393	40557	70475
47387	64540	89814	120242	202322
